Date,Session_Primary_Channel_Group,Sessions,Impressions,Clicks,CTR(%),Conversion_Rate(%),Attributed_Sales,Marketing_Spend,ROAS
2023-01-30,Direct,62,248,15,6.05,2.63,32.55,0.0,0.0
2023-01-30,Referral,48,192,8,4.17,2.01,0.0,0.0,0.0
2023-01-30,Social (FB/IG),178,3382,49,1.45,2.76,89.35,364.82,0.24
2023-01-30,Lazada Ads,172,2580,34,1.32,1.1,24.55,632.73,0.04
2023-01-30,Referral,39,78,8,10.26,3.0,33.39,0.0,0.0
2023-01-31,Shopee Ads,157,2355,63,2.68,3.3,143.0,596.91,0.24
2023-01-31,Organic Search,132,264,23,8.71,4.74,256.95,0.0,0.0
2023-01-31,Referral,34,136,9,6.62,1.76,0.0,0.0,0.0
2023-02-01,Shopee Ads,128,2304,29,1.26,2.87,79.57,464.16,0.17
2023-02-01,Social (FB/IG),84,1176,26,2.21,1.99,42.47,942.21,0.05
2023-02-01,Paid Search (Google Ads),75,1275,26,2.04,4.13,142.66,986.8,0.14
2023-02-02,Referral,38,152,4,2.63,3.88,31.52,0.0,0.0
2023-02-02,Shopee Ads,101,1212,25,2.06,2.06,88.48,273.25,0.32
2023-02-02,Shopee Ads,186,2418,53,2.19,1.68,105.8,153.58,0.69
2023-02-02,Paid Search (Google Ads),58,870,23,2.64,2.83,23.01,209.44,0.11
2023-02-02,Shopee Ads,190,2280,22,0.96,2.29,95.44,481.88,0.2
2023-02-02,Direct,70,140,16,11.43,3.14,59.46,0.0,0.0
2023-02-03,Direct,68,136,9,6.62,4.87,141.84,0.0,0.0
2023-02-03,Direct,64,128,9,7.03,1.23,0.0,0.0,0.0
2023-02-03,Lazada Ads,134,1474,9,0.61,3.3,127.18,720.47,0.18
2023-02-03,Organic Search,81,162,14,8.64,1.88,44.88,0.0,0.0
2023-02-03,Social (FB/IG),167,2004,29,1.45,3.37,170.26,924.17,0.18
2023-02-03,Organic Search,140,560,35,6.25,3.95,214.17,0.0,0.0
2023-02-04,Paid Search (Google Ads),56,728,13,1.79,2.98,35.35,910.21,0.04
2023-02-04,Shopee Ads,137,1644,9,0.55,1.97,64.01,798.71,0.08
2023-02-04,Lazada Ads,77,924,9,0.97,3.57,99.88,346.75,0.29
2023-02-04,Paid Search (Google Ads),45,630,12,1.9,2.04,0.0,950.78,0.0
2023-02-04,Shopee Ads,98,1274,13,1.02,2.6,40.76,472.15,0.09
2023-02-04,Lazada Ads,61,1159,13,1.12,3.93,48.0,385.99,0.12
2023-02-05,Paid Search (Google Ads),50,500,4,0.8,4.01,51.52,371.11,0.14
2023-02-05,Paid Search (Google Ads),43,645,12,1.86,1.06,0.0,422.67,0.0
2023-02-05,Referral,52,208,7,3.37,3.66,39.76,0.0,0.0
2023-02-05,Email,36,144,8,5.56,4.79,23.2,578.88,0.04
2023-02-05,Shopee Ads,166,1826,45,2.46,1.67,58.08,611.21,0.1
2023-02-05,Direct,92,184,17,9.24,2.38,51.0,0.0,0.0
2023-02-05,Paid Search (Google Ads),109,1635,19,1.16,1.25,32.15,197.11,0.16
2023-02-06,Email,11,33,1,3.03,4.21,0.0,906.3,0.0
2023-02-06,Direct,43,129,8,6.2,2.24,0.0,0.0,0.0
2023-02-06,Organic Search,52,156,13,8.33,2.15,23.04,0.0,0.0
2023-02-06,Direct,80,240,15,6.25,2.11,27.9,0.0,0.0
2023-02-06,Direct,57,171,8,4.68,1.15,0.0,0.0,0.0
2023-02-06,Organic Search,141,564,39,6.91,2.62,126.38,0.0,0.0
2023-02-06,Organic Search,134,536,35,6.53,3.65,114.96,0.0,0.0
2023-02-06,Direct,61,183,6,3.28,2.65,38.59,0.0,0.0
2023-02-07,Email,24,48,6,12.5,4.88,42.31,590.75,0.07
2023-02-07,Social (FB/IG),65,715,11,1.54,3.47,80.13,111.43,0.72
2023-02-08,Shopee Ads,166,1826,41,2.25,4.11,196.61,371.66,0.53
2023-02-08,Email,31,124,8,6.45,4.65,42.75,295.59,0.14
2023-02-08,Referral,32,96,4,4.17,2.45,0.0,0.0,0.0
2023-02-08,Paid Search (Google Ads),41,656,5,0.76,3.82,34.65,301.95,0.11
2023-02-08,Referral,52,104,9,8.65,4.94,70.9,0.0,0.0
2023-02-08,Social (FB/IG),60,960,11,1.15,4.26,75.82,854.21,0.09
2023-02-09,Referral,46,138,10,7.25,3.08,21.76,0.0,0.0
2023-02-09,Referral,58,116,8,6.9,2.73,44.77,0.0,0.0
2023-02-09,Shopee Ads,170,2040,16,0.78,2.77,82.51,576.62,0.14
2023-02-09,Email,23,69,5,7.25,4.6,25.95,277.61,0.09
2023-02-09,Email,36,108,5,4.63,1.63,0.0,832.13,0.0
2023-02-09,Social (FB/IG),159,1749,42,2.4,1.02,27.27,324.67,0.08
2023-02-10,Email,23,46,2,4.35,3.88,0.0,474.25,0.0
2023-02-10,Paid Search (Google Ads),70,1050,29,2.76,2.99,95.17,630.39,0.15
2023-02-10,Paid Search (Google Ads),51,663,14,2.11,1.17,0.0,584.48,0.0
2023-02-10,Social (FB/IG),146,2774,30,1.08,4.72,158.4,296.8,0.53
2023-02-10,Social (FB/IG),164,3116,26,0.83,3.5,199.16,559.92,0.36
2023-02-11,Shopee Ads,171,2907,23,0.79,4.61,275.94,647.85,0.43
2023-02-11,Direct,37,111,6,5.41,2.65,0.0,0.0,0.0
2023-02-11,Shopee Ads,141,2538,45,1.77,4.65,194.11,743.05,0.26
2023-02-11,Organic Search,83,166,9,5.42,2.25,26.57,0.0,0.0
2023-02-11,Social (FB/IG),126,1512,8,0.53,1.15,35.8,509.09,0.07
2023-02-12,Organic Search,142,426,20,4.69,1.92,60.36,0.0,0.0
2023-02-12,Direct,97,194,19,9.79,1.46,35.88,0.0,0.0
2023-02-12,Direct,84,336,10,2.98,3.49,48.97,0.0,0.0
2023-02-12,Lazada Ads,88,1320,7,0.53,3.37,86.09,126.0,0.68
2023-02-12,Lazada Ads,76,760,18,2.37,2.35,20.24,786.25,0.03
2023-02-12,Lazada Ads,170,2380,61,2.56,4.5,156.84,683.94,0.23
2023-02-12,Paid Search (Google Ads),58,696,9,1.29,3.31,38.83,800.14,0.05
2023-02-13,Email,27,108,6,5.56,4.4,30.67,185.32,0.17
2023-02-13,Lazada Ads,179,2506,69,2.75,4.37,193.61,776.6,0.25
2023-02-13,Shopee Ads,84,924,20,2.16,3.5,89.16,676.87,0.13
2023-02-13,Referral,30,120,5,4.17,4.64,23.67,0.0,0.0
2023-02-13,Direct,84,168,22,13.1,4.56,136.34,0.0,0.0
2023-02-13,Paid Search (Google Ads),74,1258,20,1.59,3.68,72.41,281.51,0.26
2023-02-13,Direct,38,114,11,9.65,2.61,0.0,0.0,0.0
2023-02-13,Shopee Ads,100,1600,19,1.19,3.52,60.77,872.32,0.07
2023-02-13,Lazada Ads,173,2595,23,0.89,4.72,250.89,198.89,1.26
2023-02-14,Email,37,74,4,5.41,2.16,0.0,523.72,0.0
2023-02-14,Organic Search,55,110,11,10.0,1.74,0.0,0.0,0.0
2023-02-14,Organic Search,84,252,17,6.75,3.31,73.55,0.0,0.0
2023-02-14,Paid Search (Google Ads),100,1000,29,2.9,1.09,43.7,530.15,0.08
2023-02-15,Organic Search,56,112,16,14.29,1.83,49.26,0.0,0.0
2023-02-15,Paid Search (Google Ads),109,1090,15,1.38,2.67,46.98,141.79,0.33
2023-02-15,Direct,95,380,25,6.58,3.01,50.85,0.0,0.0
2023-02-15,Lazada Ads,166,2158,56,2.59,2.29,105.49,790.6,0.13
2023-02-15,Email,33,132,6,4.55,2.37,0.0,136.91,0.0
2023-02-15,Shopee Ads,197,2758,66,2.39,3.17,171.3,934.42,0.18
2023-02-15,Email,14,56,2,3.57,4.71,0.0,203.93,0.0
2023-02-16,Lazada Ads,175,2975,18,0.61,3.36,208.09,912.25,0.23
2023-02-16,Referral,28,56,5,8.93,2.44,0.0,0.0,0.0
2023-02-16,Referral,44,88,7,7.95,2.53,33.45,0.0,0.0
2023-02-17,Direct,67,134,12,8.96,3.97,95.68,0.0,0.0
2023-02-17,Social (FB/IG),107,1284,23,1.79,3.14,113.14,374.39,0.3
2023-02-17,Social (FB/IG),104,1664,20,1.2,4.77,86.44,541.64,0.16
2023-02-17,Organic Search,127,381,17,4.46,3.41,163.29,0.0,0.0
2023-02-18,Organic Search,87,261,16,6.13,3.84,106.8,0.0,0.0
2023-02-18,Email,21,84,3,3.57,4.32,0.0,865.6,0.0
2023-02-18,Direct,85,170,23,13.53,1.18,45.69,0.0,0.0
2023-02-19,Shopee Ads,82,1148,26,2.26,2.11,22.19,339.39,0.07
2023-02-19,Direct,83,166,20,12.05,4.85,121.77,0.0,0.0
2023-02-19,Organic Search,93,279,14,5.02,2.96,64.3,0.0,0.0
2023-02-19,Email,23,46,6,13.04,3.23,0.0,141.37,0.0
2023-02-19,Organic Search,63,189,14,7.41,1.34,0.0,0.0,0.0
2023-02-19,Referral,38,152,9,5.92,4.97,35.86,0.0,0.0
2023-02-20,Direct,87,174,23,13.22,2.71,91.77,0.0,0.0
2023-02-20,Email,24,96,2,2.08,3.71,0.0,898.71,0.0
2023-02-20,Email,17,51,3,5.88,3.24,0.0,707.23,0.0
2023-02-20,Organic Search,149,298,25,8.39,4.83,141.2,0.0,0.0
2023-02-20,Lazada Ads,156,2652,68,2.56,3.1,144.67,294.24,0.49
2023-02-21,Shopee Ads,177,3363,79,2.35,2.47,82.15,947.13,0.09
2023-02-21,Email,11,22,1,4.55,2.54,0.0,332.48,0.0
2023-02-21,Lazada Ads,106,1060,20,1.89,3.08,121.34,916.97,0.13
2023-02-21,Lazada Ads,99,1485,8,0.54,4.86,84.42,186.89,0.45
2023-02-21,Referral,35,140,9,6.43,1.44,0.0,0.0,0.0
2023-02-22,Shopee Ads,95,1520,29,1.91,2.26,45.37,760.54,0.06
2023-02-22,Lazada Ads,162,2268,18,0.79,4.63,340.07,404.05,0.84
2023-02-22,Lazada Ads,96,1152,11,0.95,2.01,48.62,817.19,0.06
2023-02-22,Social (FB/IG),87,1044,21,2.01,4.42,71.25,471.04,0.15
2023-02-22,Email,20,60,5,8.33,3.61,0.0,615.16,0.0
2023-02-22,Shopee Ads,95,1710,37,2.16,1.33,23.85,985.52,0.02
2023-02-23,Paid Search (Google Ads),42,462,6,1.3,2.53,40.19,978.1,0.04
2023-02-23,Direct,35,140,6,4.29,1.71,0.0,0.0,0.0
2023-02-23,Email,30,90,5,5.56,4.6,34.03,215.43,0.16
2023-02-23,Social (FB/IG),150,2550,40,1.57,3.03,135.3,584.99,0.23
2023-02-24,Shopee Ads,144,1440,37,2.57,2.41,118.65,806.66,0.15
2023-02-24,Shopee Ads,123,2337,50,2.14,3.84,134.26,564.08,0.24
2023-02-24,Email,34,136,6,4.41,3.16,42.94,524.49,0.08
2023-02-24,Lazada Ads,101,1111,19,1.71,1.93,40.55,511.06,0.08
2023-02-24,Shopee Ads,155,2015,35,1.74,4.63,203.72,194.26,1.05
2023-02-24,Email,19,57,5,8.77,1.7,0.0,872.11,0.0
2023-02-24,Referral,52,104,6,5.77,1.1,0.0,0.0,0.0
2023-02-24,Email,15,60,2,3.33,3.51,0.0,380.37,0.0
2023-02-25,Referral,48,192,10,5.21,1.2,0.0,0.0,0.0
2023-02-25,Email,16,48,3,6.25,2.82,0.0,914.99,0.0
2023-02-25,Social (FB/IG),66,660,16,2.42,1.19,0.0,541.9,0.0
2023-02-25,Lazada Ads,98,1372,13,0.95,2.81,99.77,650.6,0.15
2023-02-26,Referral,26,52,4,7.69,2.97,0.0,0.0,0.0
2023-02-26,Social (FB/IG),153,2142,20,0.93,3.52,246.29,411.97,0.6
2023-02-26,Email,18,54,3,5.56,3.79,0.0,374.92,0.0
2023-02-26,Lazada Ads,105,1680,28,1.67,2.75,69.57,661.23,0.11
2023-02-27,Lazada Ads,100,1900,21,1.11,3.81,66.1,701.77,0.09
2023-02-27,Direct,46,92,7,7.61,2.19,36.38,0.0,0.0
2023-02-28,Paid Search (Google Ads),55,605,7,1.16,1.15,0.0,945.37,0.0
2023-02-28,Social (FB/IG),104,1664,29,1.74,4.22,123.27,188.88,0.65
2023-02-28,Paid Search (Google Ads),91,1729,36,2.08,2.99,96.08,181.45,0.53
2023-02-28,Direct,97,194,24,12.37,4.77,115.73,0.0,0.0
2023-03-01,Organic Search,85,340,9,2.65,1.84,41.83,0.0,0.0
2023-03-03,Paid Search (Google Ads),52,988,10,1.01,4.25,42.01,683.16,0.06
2023-03-03,Social (FB/IG),123,2337,30,1.28,1.89,73.87,795.48,0.09
2023-03-03,Shopee Ads,169,2197,18,0.82,1.28,46.59,237.96,0.2
2023-03-03,Direct,67,268,8,2.99,3.94,99.85,0.0,0.0
2023-03-04,Social (FB/IG),64,1152,29,2.52,2.76,26.65,236.66,0.11
2023-03-04,Organic Search,60,180,7,3.89,3.56,70.3,0.0,0.0
2023-03-04,Organic Search,80,320,8,2.5,4.18,66.49,0.0,0.0
2023-03-04,Email,37,111,7,6.31,1.05,0.0,590.41,0.0
2023-03-04,Paid Search (Google Ads),110,1760,21,1.19,2.69,85.11,917.36,0.09
2023-03-05,Lazada Ads,178,2848,42,1.47,1.29,92.72,419.29,0.22
2023-03-06,Shopee Ads,82,1394,21,1.51,4.55,69.89,316.13,0.22
2023-03-06,Email,19,76,3,3.95,3.04,0.0,442.33,0.0
2023-03-06,Email,32,128,3,2.34,3.12,0.0,858.0,0.0
2023-03-06,Paid Search (Google Ads),58,580,5,0.86,4.86,47.53,292.7,0.16
2023-03-06,Direct,45,180,9,5.0,2.49,26.12,0.0,0.0
2023-03-06,Paid Search (Google Ads),93,1674,42,2.51,4.62,107.83,542.85,0.2
2023-03-07,Direct,84,336,18,5.36,3.36,79.82,0.0,0.0
2023-03-08,Paid Search (Google Ads),115,1610,13,0.81,4.18,172.75,264.0,0.65
2023-03-09,Paid Search (Google Ads),67,670,20,2.99,1.05,0.0,345.27,0.0
2023-03-09,Lazada Ads,84,1596,39,2.44,1.97,49.56,248.55,0.2
2023-03-09,Lazada Ads,167,3006,20,0.67,1.97,118.71,831.02,0.14
2023-03-10,Organic Search,144,432,29,6.71,2.74,70.49,0.0,0.0
2023-03-10,Social (FB/IG),138,2484,45,1.81,4.38,150.01,744.39,0.2
2023-03-10,Direct,71,213,11,5.16,1.73,41.94,0.0,0.0
2023-03-10,Social (FB/IG),105,1995,23,1.15,3.56,133.46,262.1,0.51
2023-03-10,Lazada Ads,116,1160,31,2.67,2.0,59.74,878.74,0.07
2023-03-11,Shopee Ads,147,1764,19,1.08,2.54,76.87,722.16,0.11
2023-03-11,Lazada Ads,123,1599,19,1.19,4.24,167.87,765.38,0.22
2023-03-12,Paid Search (Google Ads),59,826,21,2.54,4.04,95.78,213.36,0.45
2023-03-12,Direct,79,316,14,4.43,2.7,55.74,0.0,0.0
2023-03-13,Shopee Ads,149,1937,38,1.96,4.68,202.98,825.46,0.25
2023-03-13,Organic Search,147,441,26,5.9,3.86,244.4,0.0,0.0
2023-03-13,Social (FB/IG),75,1425,34,2.39,4.32,109.57,731.44,0.15
2023-03-13,Social (FB/IG),163,2608,65,2.49,1.85,108.97,405.22,0.27
2023-03-14,Social (FB/IG),122,1708,23,1.35,2.82,78.26,488.91,0.16
2023-03-14,Paid Search (Google Ads),93,1767,42,2.38,1.28,31.58,541.61,0.06
2023-03-14,Organic Search,124,372,26,6.99,3.69,134.99,0.0,0.0
2023-03-14,Paid Search (Google Ads),119,2142,50,2.33,2.64,147.77,504.57,0.29
2023-03-14,Direct,38,114,8,7.02,1.63,0.0,0.0,0.0
2023-03-15,Organic Search,82,164,15,9.15,1.37,35.25,0.0,0.0
2023-03-15,Direct,52,156,7,4.49,4.44,89.05,0.0,0.0
2023-03-15,Paid Search (Google Ads),118,1416,12,0.85,3.06,88.53,837.94,0.11
2023-03-16,Organic Search,109,327,20,6.12,2.43,99.28,0.0,0.0
2023-03-16,Lazada Ads,138,2208,55,2.49,4.56,130.96,738.36,0.18
2023-03-16,Referral,55,110,11,10.0,4.03,71.24,0.0,0.0
2023-03-16,Organic Search,91,273,27,9.89,4.75,136.25,0.0,0.0
2023-03-17,Referral,56,112,14,12.5,4.99,62.42,0.0,0.0
2023-03-17,Social (FB/IG),107,2033,55,2.71,2.26,69.99,997.76,0.07
2023-03-17,Shopee Ads,120,1800,53,2.94,3.98,155.55,766.87,0.2
2023-03-17,Email,21,84,4,4.76,1.32,0.0,429.15,0.0
2023-03-18,Lazada Ads,101,1010,6,0.59,3.1,89.2,618.72,0.14
2023-03-18,Social (FB/IG),111,1998,59,2.95,3.65,168.28,246.69,0.68
2023-03-18,Organic Search,143,286,27,9.44,4.31,281.57,0.0,0.0
2023-03-19,Email,26,104,3,2.88,3.04,0.0,624.1,0.0
2023-03-19,Email,23,69,6,8.7,2.57,0.0,818.89,0.0
2023-03-19,Direct,90,360,18,5.0,4.41,61.39,0.0,0.0
2023-03-19,Paid Search (Google Ads),104,1664,14,0.84,2.58,94.95,191.07,0.5
2023-03-20,Social (FB/IG),70,1050,6,0.57,3.18,40.58,724.48,0.06
2023-03-20,Organic Search,58,116,16,13.79,3.35,47.4,0.0,0.0
2023-03-21,Organic Search,74,222,15,6.76,2.72,73.31,0.0,0.0
2023-03-22,Lazada Ads,87,870,21,2.41,3.39,65.12,342.37,0.19
2023-03-22,Referral,47,94,8,8.51,4.73,43.22,0.0,0.0
2023-03-23,Referral,26,78,6,7.69,4.82,26.32,0.0,0.0
2023-03-23,Email,18,54,2,3.7,3.61,0.0,426.54,0.0
2023-03-23,Lazada Ads,122,1708,46,2.69,1.25,21.63,945.74,0.02
2023-03-24,Lazada Ads,73,1022,26,2.54,3.86,55.44,634.7,0.09
2023-03-24,Email,36,108,9,8.33,2.61,0.0,988.05,0.0
2023-03-24,Referral,23,46,5,10.87,1.63,0.0,0.0,0.0
2023-03-24,Lazada Ads,174,2436,60,2.46,2.27,126.42,507.0,0.25
2023-03-25,Paid Search (Google Ads),60,600,11,1.83,2.04,32.09,986.59,0.03
