Order_No,Item Name,Quantity,Unit_Price,Platform,Customer_ID,Payment_Type,Order_Date
ORD000063,Product SKU0100,3,13.14,Shopify,CUST0173,Credit Card,2023-10-23
ORD000064,Product SKU0091,7,3.81,Shopee,CUST0076,Wallet,2024-11-02
ORD000065,Product SKU0122,5,25.53,Shopee,CUST0038,Credit Card,2023-01-31
ORD000066,Product SKU0084,3,14.66,Shopee,CUST0108,COD,2023-07-08
ORD000067,Product SKU0009,1,22.46,Lazada,CUST0169,COD,2024-05-27
ORD000068,Product SKU0074,6,8.69,Shopee,CUST0020,Wallet,2024-08-19
ORD000069,Product SKU0077,2,24.14,Lazada,CUST0173,Credit Card,2023-12-27
ORD000070,Product SKU0130,4,20.27,Shopee,CUST0164,Wallet,2024-07-24
ORD000071,Product SKU0085,5,4.91,Shopify,CUST0176,COD,2024-02-20
ORD000072,Product SKU0022,6,15.29,Shopee,CUST0165,Wallet,2024-01-27
ORD000073,Product SKU0128,4,21.43,Shopee,CUST0063,Wallet,2024-09-02
ORD000074,Product SKU0051,5,27.83,Shopee,CUST0130,COD,2023-01-25
ORD000075,Product SKU0097,8,15.09,Shopee,CUST0024,Wallet,2023-07-29
ORD000076,Product SKU0130,3,9.22,Shopify,CUST0036,COD,2024-07-01
ORD000077,Product SKU0082,5,15.08,Lazada,CUST0148,Wallet,2024-05-31
ORD000078,Product SKU0100,5,17.95,Shopee,CUST0162,COD,2024-07-09
ORD000079,Product SKU0085,2,10.68,Shopify,CUST0033,Wallet,2024-01-03
ORD000080,Product SKU0058,7,14.22,Shopee,CUST0083,COD,2023-05-12
ORD000081,Product SKU0029,7,5.16,Lazada,CUST0023,Wallet,2023-07-04
ORD000082,Product SKU0070,7,12.98,Lazada,CUST0117,Credit Card,2024-09-27
ORD000083,Product SKU0109,2,16.57,Lazada,CUST0041,Wallet,2024-01-03
ORD000084,Product SKU0084,7,21.17,Shopee,CUST0056,COD,2024-01-06
ORD000085,Product SKU0102,7,18.9,Lazada,CUST0130,Credit Card,2024-07-30
ORD000086,Product SKU0008,7,6.46,Shopee,CUST0110,COD,2023-05-11
ORD000087,Product SKU0112,1,7.73,Lazada,CUST0021,COD,2024-03-09
ORD000088,Product SKU0066,6,28.11,Lazada,CUST0034,COD,2023-08-15
ORD000089,Product SKU0024,7,9.43,Lazada,CUST0063,COD,2024-03-18
ORD000090,Product SKU0019,1,29.79,Shopee,CUST0125,Credit Card,2023-12-04
ORD000091,Product SKU0078,2,27.29,Shopify,CUST0013,Credit Card,2024-11-28
ORD000092,Product SKU0038,4,23.23,Shopee,CUST0121,Credit Card,2024-03-28
ORD000093,Product SKU0128,5,4.18,Shopify,CUST0190,Credit Card,2023-02-01
ORD000094,Product SKU0009,6,5.4,Lazada,CUST0014,COD,2023-10-05
ORD000095,Product SKU0053,6,17.76,Lazada,CUST0079,Wallet,2024-08-08
ORD000096,Product SKU0022,2,3.83,Shopee,CUST0049,Wallet,2024-06-23
ORD000097,Product SKU0089,3,29.97,Shopee,CUST0129,Credit Card,2023-09-14
ORD000098,Product SKU0036,6,5.74,Lazada,CUST0054,COD,2024-12-07
ORD000099,Product SKU0130,4,6.3,Lazada,CUST0034,Wallet,2023-10-23
ORD000100,Product SKU0050,6,20.9,Shopee,CUST0157,COD,2024-11-25
ORD000101,Product SKU0031,4,27.63,Lazada,CUST0126,Credit Card,2024-10-04
ORD000102,Product SKU0079,3,25.34,Shopee,CUST0070,Credit Card,2024-04-12
ORD000103,Product SKU0100,3,9.68,Shopee,CUST0044,COD,2023-06-23
ORD000104,Product SKU0035,1,22.22,Shopee,CUST0107,Wallet,2023-11-20
ORD000105,Product SKU0089,3,5.5,Shopee,CUST0173,COD,2023-12-31
ORD000106,Product SKU0068,6,24.57,Lazada,CUST0125,Credit Card,2023-03-26
ORD000107,Product SKU0105,6,22.76,Shopee,CUST0010,COD,2023-10-06
ORD000108,Product SKU0072,2,26.1,Lazada,CUST0165,Credit Card,2024-04-29
ORD000109,Product SKU0053,5,12.02,Shopify,CUST0163,COD,2023-10-17
ORD000110,Product SKU0081,6,29.32,Shopify,CUST0087,Wallet,2023-07-20
ORD000111,Product SKU0121,7,12.63,Shopify,CUST0057,Wallet,2024-08-16
ORD000112,Product SKU0004,2,25.76,Lazada,CUST0063,Credit Card,2023-01-19
ORD000113,Product SKU0118,1,20.17,Lazada,CUST0163,Wallet,2023-02-13
ORD000114,Product SKU0122,6,27.74,Shopee,CUST0043,Wallet,2024-04-03
ORD000115,Product SKU0043,2,6.54,Lazada,CUST0062,Credit Card,2024-07-31
ORD000116,Product SKU0057,8,21.07,Shopee,CUST0009,COD,2024-07-15
ORD000117,Product SKU0116,8,9.67,Lazada,CUST0071,Wallet,2023-07-01
ORD000118,Product SKU0116,1,15.47,Lazada,CUST0171,COD,2024-04-28
ORD000119,Product SKU0047,6,15.46,Lazada,CUST0142,Credit Card,2024-02-25
ORD000120,Product SKU0058,1,27.82,Shopify,CUST0038,Credit Card,2023-01-02
ORD000121,Product SKU0114,5,22.35,Shopee,CUST0028,Credit Card,2023-04-04
ORD000122,Product SKU0061,5,18.33,Lazada,CUST0169,Wallet,2023-02-14
ORD000123,Product SKU0095,3,8.91,Lazada,CUST0006,Credit Card,2024-08-28
ORD000124,Product SKU0116,5,16.42,Lazada,CUST0003,Credit Card,2024-05-28
ORD000125,Product SKU0055,2,26.28,Lazada,CUST0175,Wallet,2023-02-24
ORD000126,Product SKU0108,4,26.9,Lazada,CUST0055,Credit Card,2023-11-30
ORD000127,Product SKU0061,3,16.18,Lazada,CUST0127,Wallet,2023-11-22
ORD000128,Product SKU0115,6,18.92,Shopee,CUST0179,Wallet,2023-07-01
ORD000129,Product SKU0057,6,27.4,Shopee,CUST0027,COD,2024-08-17
ORD000130,Product SKU0078,5,5.66,Lazada,CUST0182,Wallet,2023-09-18
ORD000131,Product SKU0047,1,18.77,Shopee,CUST0167,Wallet,2024-10-04
ORD000132,Product SKU0007,3,24.31,Shopify,CUST0009,Wallet,2023-10-02
ORD000133,Product SKU0067,3,8.6,Lazada,CUST0071,COD,2024-01-26
ORD000134,Product SKU0098,4,24.13,Shopee,CUST0158,COD,2023-03-07
ORD000135,Product SKU0107,6,9.43,Shopee,CUST0132,Wallet,2024-09-26
ORD000136,Product SKU0021,6,22.2,Shopee,CUST0073,COD,2023-03-20
ORD000137,Product SKU0081,3,15.69,Shopify,CUST0043,COD,2024-07-21
ORD000138,Product SKU0109,7,17.64,Shopify,CUST0074,Wallet,2023-06-26
ORD000139,Product SKU0063,3,22.22,Shopee,CUST0075,COD,2024-04-05
ORD000140,Product SKU0115,6,17.46,Lazada,CUST0079,COD,2024-09-19
ORD000141,Product SKU0060,6,8.12,Shopify,CUST0045,Credit Card,2023-08-16
ORD000142,Product SKU0130,3,21.79,Shopee,CUST0175,Credit Card,2023-06-23
ORD000143,Product SKU0123,6,25.7,Lazada,CUST0095,COD,2024-03-26
ORD000144,Product SKU0048,1,17.36,Lazada,CUST0018,COD,2024-01-01
ORD000145,Product SKU0017,8,14.52,Shopify,CUST0060,Credit Card,2024-09-16
ORD000146,Product SKU0086,1,12.81,Shopee,CUST0186,Wallet,2024-07-27
ORD000147,Product SKU0042,5,2.82,Shopify,CUST0008,COD,2023-08-21
ORD000148,Product SKU0024,6,23.45,Lazada,CUST0010,Wallet,2023-04-29
ORD000149,Product SKU0004,3,7.67,Lazada,CUST0177,COD,2024-04-14
ORD000150,Product SKU0076,8,26.42,Shopify,CUST0164,COD,2023-10-26
ORD000151,Product SKU0129,8,11.09,Shopify,CUST0172,Wallet,2024-01-31
ORD000152,Product SKU0130,4,17.12,Shopify,CUST0017,Wallet,2023-02-05
ORD000153,Product SKU0091,3,2.44,Lazada,CUST0027,Wallet,2024-04-25
ORD000154,Product SKU0087,5,12.09,Shopee,CUST0125,Wallet,2024-12-29
ORD000155,Product SKU0051,2,28.66,Shopee,CUST0010,COD,2023-01-23
ORD000156,Product SKU0072,2,9.19,Shopee,CUST0020,Credit Card,2024-01-14
ORD000157,Product SKU0008,7,6.25,Lazada,CUST0170,COD,2024-03-12
ORD000158,Product SKU0007,1,15.21,Shopee,CUST0142,Wallet,2023-03-01
ORD000159,Product SKU0030,6,20.38,Shopee,CUST0172,Wallet,2023-01-17
ORD000160,Product SKU0041,1,10.2,Shopify,CUST0131,Wallet,2024-03-20
ORD000161,Product SKU0010,2,24.28,Shopee,CUST0120,Wallet,2024-04-13
ORD000162,Product SKU0088,2,18.42,Shopify,CUST0130,Wallet,2024-02-29
ORD000163,Product SKU0005,3,15.54,Shopee,CUST0073,Credit Card,2024-07-13
ORD000164,Product SKU0043,2,21.46,Shopee,CUST0116,COD,2023-05-24
ORD000165,Product SKU0026,3,24.95,Shopee,CUST0145,Credit Card,2024-10-03
ORD000166,Product SKU0047,5,8.98,Shopee,CUST0189,COD,2024-03-13
ORD000167,Product SKU0029,7,18.36,Shopify,CUST0053,Credit Card,2023-08-21
ORD000168,Product SKU0093,4,4.89,Shopee,CUST0001,Credit Card,2024-03-12
ORD000169,Product SKU0060,4,14.27,Shopee,CUST0165,COD,2023-08-05
ORD000170,Product SKU0028,4,7.7,Lazada,CUST0031,Credit Card,2023-07-11
ORD000171,Product SKU0111,6,12.06,Shopify,CUST0171,Wallet,2023-04-21
ORD000172,Product SKU0005,5,22.11,Lazada,CUST0188,Credit Card,2024-11-17
ORD000173,Product SKU0069,8,22.48,Shopify,CUST0106,COD,2023-08-16
ORD000174,Product SKU0052,3,20.26,Shopify,CUST0027,Credit Card,2024-02-29
ORD000175,Product SKU0038,5,2.61,Shopify,CUST0192,Credit Card,2023-03-08
ORD000176,Product SKU0025,4,7.87,Shopee,CUST0190,Credit Card,2023-07-24
ORD000177,Product SKU0032,8,14.62,Lazada,CUST0065,Wallet,2024-11-03
ORD000178,Product SKU0023,1,14.05,Shopify,CUST0150,COD,2023-04-05
ORD000179,Product SKU0058,8,21.99,Shopify,CUST0015,Credit Card,2023-03-01
ORD000180,Product SKU0053,1,13.23,Shopee,CUST0054,Wallet,2023-07-24
ORD000181,Product SKU0114,5,4.05,Shopify,CUST0052,COD,2024-06-17
ORD000182,Product SKU0048,6,11.14,Shopee,CUST0080,Credit Card,2024-08-27
ORD000183,Product SKU0059,3,11.68,Shopee,CUST0079,COD,2024-09-17
ORD000184,Product SKU0089,3,9.91,Shopify,CUST0068,COD,2023-10-23
ORD000185,Product SKU0020,1,16.42,Shopee,CUST0148,Credit Card,2024-03-23
ORD000186,Product SKU0036,6,16.53,Shopify,CUST0002,Credit Card,2024-10-25
ORD000187,Product SKU0020,4,20.48,Lazada,CUST0186,Wallet,2023-09-21
ORD000188,Product SKU0075,2,4.94,Shopee,CUST0042,COD,2024-12-18
ORD000189,Product SKU0051,4,13.95,Shopee,CUST0018,Credit Card,2023-07-05
ORD000190,Product SKU0071,7,3.79,Lazada,CUST0047,Credit Card,2024-04-14
ORD000191,Product SKU0090,7,25.26,Shopee,CUST0087,Wallet,2024-07-27
ORD000192,Product SKU0077,3,10.94,Shopee,CUST0157,COD,2023-02-02
ORD000193,Product SKU0072,8,10.61,Lazada,CUST0110,Credit Card,2023-05-31
ORD000194,Product SKU0012,4,29.09,Lazada,CUST0010,COD,2023-02-22
ORD000195,Product SKU0128,3,2.68,Shopify,CUST0006,Credit Card,2023-09-21
ORD000196,Product SKU0085,7,19.58,Shopee,CUST0115,Credit Card,2023-06-02
ORD000197,Product SKU0083,8,3.82,Lazada,CUST0131,COD,2023-03-21
ORD000198,Product SKU0087,3,20.15,Shopee,CUST0030,COD,2023-11-26
ORD000199,Product SKU0054,5,9.45,Lazada,CUST0195,Credit Card,2024-02-19
ORD000200,Product SKU0038,7,4.83,Shopee,CUST0087,Credit Card,2024-06-27
ORD000201,Product SKU0095,2,25.54,Lazada,CUST0019,COD,2024-10-11
ORD000202,Product SKU0065,7,12.43,Shopify,CUST0024,Wallet,2023-03-11
ORD000203,Product SKU0021,3,28.44,Lazada,CUST0003,Wallet,2024-03-21
ORD000204,Product SKU0071,6,26.66,Shopee,CUST0011,COD,2024-01-12
ORD000205,Product SKU0063,4,10.0,Shopify,CUST0190,Wallet,2024-11-14
ORD000206,Product SKU0114,3,18.87,Shopee,CUST0020,Wallet,2023-04-27
ORD000207,Product SKU0066,7,23.36,Shopify,CUST0179,Credit Card,2024-12-21
ORD000208,Product SKU0017,1,25.46,Shopee,CUST0183,Wallet,2023-09-29
ORD000209,Product SKU0052,6,18.94,Shopee,CUST0032,Wallet,2023-12-04
ORD000210,Product SKU0020,4,16.83,Lazada,CUST0111,COD,2023-02-27
ORD000211,Product SKU0057,7,10.64,Shopify,CUST0167,Credit Card,2023-01-26
ORD000212,Product SKU0071,8,13.67,Shopify,CUST0088,Credit Card,2024-04-02
ORD000213,Product SKU0079,4,14.42,Shopee,CUST0008,Credit Card,2024-03-20
ORD000214,Product SKU0090,2,26.77,Shopee,CUST0170,Wallet,2023-02-09
ORD000215,Product SKU0017,1,11.02,Lazada,CUST0072,Credit Card,2024-02-23
ORD000216,Product SKU0039,6,12.74,Shopee,CUST0096,COD,2024-05-04
ORD000217,Product SKU0069,1,5.85,Shopee,CUST0113,COD,2023-10-23
ORD000218,Product SKU0054,4,6.62,Shopee,CUST0154,Credit Card,2023-04-09
ORD000219,Product SKU0104,8,2.67,Shopify,CUST0035,Credit Card,2023-04-09
ORD000220,Product SKU0027,4,9.95,Lazada,CUST0107,COD,2024-09-20
ORD000221,Product SKU0115,8,13.9,Lazada,CUST0112,Credit Card,2024-03-14
ORD000222,Product SKU0001,7,25.6,Lazada,CUST0058,COD,2024-08-10
ORD000223,Product SKU0103,6,10.47,Shopee,CUST0171,Wallet,2024-12-06
ORD000224,Product SKU0071,4,19.33,Lazada,CUST0052,Credit Card,2023-04-17
ORD000225,Product SKU0063,1,24.95,Shopify,CUST0158,Credit Card,2023-02-12
ORD000226,Product SKU0039,8,8.86,Shopify,CUST0056,Wallet,2023-05-17
ORD000227,Product SKU0117,5,18.82,Shopee,CUST0142,COD,2023-05-23
ORD000228,Product SKU0054,2,21.46,Shopee,CUST0012,COD,2023-03-25
ORD000229,Product SKU0012,4,15.51,Shopify,CUST0114,COD,2024-08-07
ORD000230,Product SKU0008,3,18.34,Lazada,CUST0062,Wallet,2024-02-26
ORD000231,Product SKU0002,2,26.41,Shopee,CUST0195,Credit Card,2023-04-16
ORD000232,Product SKU0111,7,28.03,Shopify,CUST0156,COD,2023-10-13
ORD000233,Product SKU0096,1,28.46,Lazada,CUST0096,Credit Card,2023-01-14
ORD000234,Product SKU0023,2,27.73,Shopee,CUST0144,COD,2024-12-22
ORD000235,Product SKU0117,6,3.89,Lazada,CUST0100,COD,2024-06-16
ORD000236,Product SKU0059,1,29.39,Shopee,CUST0114,Wallet,2024-01-30
ORD000237,Product SKU0017,6,24.34,Shopify,CUST0100,Wallet,2023-06-19
ORD000238,Product SKU0064,1,12.04,Shopify,CUST0165,COD,2024-05-12
ORD000239,Product SKU0004,7,26.46,Shopify,CUST0015,COD,2024-12-09
ORD000240,Product SKU0080,6,25.78,Shopee,CUST0146,Credit Card,2023-08-01
ORD000241,Product SKU0063,3,2.11,Shopify,CUST0019,Credit Card,2023-10-23
ORD000242,Product SKU0037,6,22.99,Shopify,CUST0129,Wallet,2023-10-13
ORD000243,Product SKU0089,6,27.54,Shopee,CUST0053,Wallet,2023-06-23
ORD000244,Product SKU0009,5,13.5,Lazada,CUST0126,Credit Card,2024-10-10
ORD000245,Product SKU0034,3,15.63,Shopify,CUST0092,Wallet,2024-10-23
ORD000246,Product SKU0045,1,13.86,Shopee,CUST0006,Wallet,2023-10-15
ORD000247,Product SKU0022,1,18.5,Lazada,CUST0175,COD,2024-03-25
ORD000248,Product SKU0027,8,14.11,Shopee,CUST0070,COD,2023-07-24
ORD000249,Product SKU0013,2,5.37,Shopify,CUST0168,Wallet,2024-11-13
ORD000250,Product SKU0038,8,4.43,Shopify,CUST0112,Credit Card,2023-08-05
ORD000251,Product SKU0032,7,25.06,Lazada,CUST0195,COD,2024-07-28
ORD000252,Product SKU0086,4,16.73,Shopify,CUST0033,COD,2023-09-30
ORD000253,Product SKU0025,3,29.99,Shopify,CUST0145,Wallet,2023-11-11
ORD000254,Product SKU0010,7,14.43,Shopify,CUST0160,Credit Card,2024-09-08
ORD000255,Product SKU0124,4,15.68,Shopee,CUST0142,Wallet,2023-05-11
ORD000256,Product SKU0065,1,26.55,Lazada,CUST0075,COD,2024-11-10
ORD000257,Product SKU0052,6,6.57,Shopee,CUST0046,Credit Card,2024-10-14
ORD000258,Product SKU0061,2,24.16,Shopee,CUST0072,COD,2024-08-19
ORD000259,Product SKU0092,6,21.96,Shopify,CUST0004,COD,2023-07-04
ORD000260,Product SKU0118,1,5.42,Shopee,CUST0068,Wallet,2024-08-01
ORD000261,Product SKU0014,8,21.21,Lazada,CUST0118,COD,2024-05-23
ORD000262,Product SKU0106,1,24.97,Shopee,CUST0084,COD,2024-03-27
ORD000263,Product SKU0004,6,26.39,Shopee,CUST0080,COD,2023-12-20
ORD000264,Product SKU0105,2,3.12,Shopee,CUST0101,Wallet,2023-12-19
ORD000265,Product SKU0104,4,12.24,Lazada,CUST0192,Credit Card,2023-05-17
ORD000266,Product SKU0107,5,14.71,Shopify,CUST0066,Credit Card,2024-12-07
ORD000267,Product SKU0090,7,2.5,Shopee,CUST0124,Wallet,2023-07-10
ORD000268,Product SKU0080,5,18.02,Shopee,CUST0014,Credit Card,2023-12-28
ORD000269,Product SKU0017,5,18.5,Shopify,CUST0091,Credit Card,2024-10-23
ORD000270,Product SKU0076,1,27.2,Shopee,CUST0144,Wallet,2024-07-19
ORD000271,Product SKU0030,1,5.67,Shopee,CUST0008,COD,2024-07-03
ORD000272,Product SKU0117,4,11.72,Shopee,CUST0061,COD,2024-12-13
ORD000273,Product SKU0112,8,16.11,Lazada,CUST0189,Wallet,2024-06-09
ORD000274,Product SKU0116,5,24.04,Lazada,CUST0147,Credit Card,2023-12-01
ORD000275,Product SKU0126,7,28.24,Lazada,CUST0063,COD,2023-08-02
ORD000276,Product SKU0106,5,3.51,Shopify,CUST0065,Wallet,2023-04-22
ORD000277,Product SKU0057,4,23.03,Lazada,CUST0013,Wallet,2023-02-20
ORD000278,Product SKU0071,3,21.66,Lazada,CUST0071,Credit Card,2024-03-22
ORD000279,Product SKU0101,1,23.07,Shopify,CUST0119,Credit Card,2024-09-08
ORD000280,Product SKU0103,1,25.41,Shopee,CUST0145,COD,2023-04-10
ORD000281,Product SKU0017,4,5.55,Lazada,CUST0026,Credit Card,2023-01-31
ORD000282,Product SKU0050,7,24.84,Shopify,CUST0113,COD,2024-02-26
ORD000283,Product SKU0054,4,4.4,Shopee,CUST0196,COD,2023-08-08
ORD000284,Product SKU0119,5,10.16,Shopee,CUST0059,Credit Card,2023-01-01
ORD000285,Product SKU0130,2,6.29,Lazada,CUST0123,COD,2023-12-16
ORD000286,Product SKU0105,6,13.34,Shopee,CUST0064,COD,2023-05-24
ORD000287,Product SKU0075,5,12.06,Shopee,CUST0090,Credit Card,2023-10-09
ORD000288,Product SKU0018,1,26.34,Shopify,CUST0158,Credit Card,2023-01-20
ORD000289,Product SKU0076,4,16.8,Lazada,CUST0092,Credit Card,2023-12-22
ORD000290,Product SKU0038,2,20.14,Lazada,CUST0115,COD,2024-08-09
ORD000291,Product SKU0080,7,2.11,Lazada,CUST0133,COD,2023-05-25
ORD000292,Product SKU0093,2,10.81,Shopee,CUST0100,COD,2024-11-10
ORD000293,Product SKU0022,5,19.41,Shopee,CUST0050,COD,2023-09-08
ORD000294,Product SKU0031,5,23.8,Shopee,CUST0090,Wallet,2023-04-27
ORD000295,Product SKU0048,5,8.75,Shopify,CUST0114,Credit Card,2023-11-05
ORD000296,Product SKU0062,7,27.38,Shopee,CUST0167,Wallet,2024-03-19
ORD000297,Product SKU0023,7,28.65,Shopify,CUST0148,Credit Card,2023-11-17
ORD000298,Product SKU0061,7,27.47,Shopee,CUST0038,Credit Card,2024-11-29
ORD000299,Product SKU0005,2,26.28,Shopee,CUST0017,Wallet,2024-04-04
ORD000300,Product SKU0010,6,10.55,Shopee,CUST0035,COD,2024-03-20
ORD000301,Product SKU0031,3,17.5,Shopee,CUST0062,Credit Card,2024-11-17
ORD000302,Product SKU0024,2,9.07,Lazada,CUST0020,Wallet,2023-06-26
ORD000303,Product SKU0099,1,10.61,Shopify,CUST0025,Credit Card,2024-03-27
ORD000304,Product SKU0069,6,26.1,Lazada,CUST0138,Wallet,2024-12-21
ORD000305,Product SKU0040,7,14.31,Lazada,CUST0162,Wallet,2023-12-31
ORD000306,Product SKU0080,8,20.57,Lazada,CUST0161,COD,2024-08-24
ORD000307,Product SKU0079,2,6.38,Lazada,CUST0075,Wallet,2023-04-03
ORD000308,Product SKU0064,5,12.53,Shopee,CUST0040,Wallet,2024-05-01
ORD000309,Product SKU0005,7,25.16,Lazada,CUST0167,Credit Card,2024-03-22
ORD000310,Product SKU0080,8,4.4,Shopify,CUST0105,COD,2024-04-04
ORD000311,Product SKU0008,1,3.83,Shopee,CUST0179,Wallet,2023-11-13
ORD000312,Product SKU0047,5,12.85,Lazada,CUST0009,Wallet,2024-05-29
ORD000313,Product SKU0041,3,13.57,Shopee,CUST0053,Credit Card,2024-04-21
ORD000314,Product SKU0019,6,28.25,Shopee,CUST0069,Wallet,2023-10-08
ORD000315,Product SKU0024,4,7.63,Shopify,CUST0048,COD,2024-08-22
ORD000316,Product SKU0031,7,3.31,Shopee,CUST0131,COD,2024-05-03
ORD000317,Product SKU0093,1,25.84,Shopify,CUST0128,Wallet,2023-05-23
ORD000318,Product SKU0067,7,26.9,Shopee,CUST0035,Wallet,2024-12-24
ORD000319,Product SKU0128,5,28.22,Shopify,CUST0083,Wallet,2023-03-28
ORD000320,Product SKU0001,3,12.06,Shopee,CUST0165,Credit Card,2023-06-11
ORD000321,Product SKU0031,2,23.82,Lazada,CUST0056,Credit Card,2024-02-15
ORD000322,Product SKU0128,2,13.12,Shopify,CUST0059,Credit Card,2024-11-01
ORD000323,Product SKU0008,6,2.99,Lazada,CUST0133,Credit Card,2024-12-11
ORD000324,Product SKU0033,5,25.29,Shopify,CUST0060,Credit Card,2024-03-15
ORD000325,Product SKU0102,7,21.44,Shopee,CUST0142,COD,2024-01-22
ORD000326,Product SKU0069,6,2.78,Shopee,CUST0042,COD,2024-04-11
