Document_No,Line_No,Item Code,Description,Quantity (Clean),Unit_Price,Line_Discount_Percent,Line_Amount,Net_Amount_Excl_VAT,Posting_Date,Total_Amount_Excl_VAT,Total_VAT_Amount,Total_Amount_Incl_VAT,GST (%),Exchange rate,Sales_Channel,Returns_Refunds,Promo_Flag,Customer_ID
DOC000035,1,CAM-DF&-C-200G,Dried Cranberries,4,4.9,9,19.6,17.84,2024-06-04,17.84,1.25,19.09,7%,1.0,Lazada,0,N,CUST0066
DOC000036,1,CAM-C-R-135G,Roasted Cashews,5,5.47,15,27.35,23.25,2023-08-10,23.25,1.63,24.88,7%,1.0,Shopee,1,Y,CUST0179
DOC000037,1,CAM-A-S-1KG,Smoked Almonds 1kg,2,21.89,14,43.78,37.65,2024-08-27,37.65,2.64,40.29,7%,1.0,Shopee,0,Y,CUST0012
DOC000038,1,CAM-C-H-135G,Honey Cashews,3,4.97,7,14.91,13.87,2024-10-29,13.87,0.97,14.84,7%,1.0,Lazada,0,N,CUST0042
DOC000039,1,CAM-DF&-C-200G,Dried Cranberries,3,5.08,9,15.24,13.87,2023-08-30,13.87,0.97,14.84,7%,1.0,Lazada,0,N,CUST0152
DOC000040,1,CAM-C-NB-135G,Natural Baked Cashews,2,4.56,5,9.12,8.66,2024-01-13,8.66,0.61,9.27,7%,1.0,Lazada,0,N,CUST0042
DOC000041,1,CAM-C-R-135G,Roasted Cashews,3,4.63,8,13.89,12.78,2023-02-02,12.78,0.89,13.67,7%,1.0,Lazada,0,N,CUST0155
DOC000042,1,CAM-A-S-135G,Smoked Almonds,5,6.01,12,30.05,26.44,2024-02-08,26.44,1.85,28.29,7%,1.0,Shopee,0,Y,CUST0011
DOC000043,1,CAM-P-R-135G,Roasted Peanuts,1,1.54,7,1.54,1.43,2023-06-17,1.43,0.1,1.53,7%,1.0,Lazada,0,N,CUST0089
DOC000044,1,CAM-A-S-1KG,Smoked Almonds 1kg,1,22.12,5,22.12,21.01,2024-07-27,21.01,1.47,22.48,7%,1.0,Shopify,1,N,CUST0140
DOC000045,1,CAM-MN-CM-135G,Natural Cocktail Mix,4,5.66,13,22.64,19.7,2023-04-12,19.7,1.38,21.08,7%,1.0,Shopee,0,Y,CUST0093
DOC000046,1,CAM-C-NB-135G,Natural Baked Cashews,3,4.79,15,14.37,12.21,2023-09-12,12.21,0.85,13.06,7%,1.0,Shopee,0,Y,CUST0127
DOC000047,1,CAM-A-BS-1KG,Almonds Blanched Sliced 1kg,3,24.07,13,72.21,62.82,2023-01-07,62.82,4.4,67.22,7%,1.0,Shopee,0,Y,CUST0146
DOC000048,1,CAM-A-H-135G,Honey Almonds,3,4.8,5,14.4,13.68,2023-01-16,13.68,0.96,14.64,7%,1.0,Shopify,0,N,CUST0041
DOC000049,1,CAM-MN-RM-135G,Natural Baked Ruby Mix,1,5.43,14,5.43,4.67,2023-12-30,4.67,0.33,5.0,7%,1.0,Shopee,0,Y,CUST0161
DOC000050,1,CAM-MN-CM-135G,Natural Cocktail Mix,1,5.83,6,5.83,5.48,2023-12-17,5.48,0.38,5.86,7%,1.0,Lazada,0,N,CUST0002
DOC000051,1,CAM-A-H-36G,Honey Almonds Mini 36g,4,1.6,9,6.4,5.82,2023-02-28,5.82,0.41,6.23,7%,1.0,Lazada,0,N,CUST0107
DOC000052,1,CAM-C-R-1KG,Roasted Cashews 1kg,3,24.68,5,74.04,70.34,2023-07-17,70.34,4.92,75.26,7%,1.0,Lazada,0,N,CUST0044
DOC000053,1,CAM-C-R-135G,Roasted Cashews,2,5.36,15,10.72,9.11,2023-01-02,9.11,0.64,9.75,7%,1.0,Shopee,0,Y,CUST0103
DOC000054,1,CAM-C-NB-135G,Natural Baked Cashews,8,4.92,10,39.36,35.42,2023-11-07,35.42,2.48,37.9,7%,1.0,Lazada,0,Y,CUST0173
DOC000055,1,CAM-A-H-36G,Honey Almonds Mini 36g,1,1.51,7,1.51,1.4,2024-02-05,1.4,0.1,1.5,7%,1.0,Shopify,0,N,CUST0141
DOC000056,1,CAM-MN-CM-135G,Natural Cocktail Mix,4,5.24,5,20.96,19.91,2023-11-28,19.91,1.39,21.3,7%,1.0,Shopify,1,N,CUST0088
DOC000057,1,CAM-A-H-36G,Honey Almonds Mini 36g,3,1.38,5,4.14,3.93,2024-10-01,3.93,0.28,4.21,7%,1.0,Shopify,0,N,CUST0171
DOC000058,1,CAM-C-R-1KG,Roasted Cashews 1kg,6,27.32,6,163.92,154.08,2024-02-24,154.08,10.79,164.87,7%,1.0,Shopify,0,N,CUST0012
DOC000059,1,CAM-A-H-36G,Honey Almonds Mini 36g,4,1.63,5,6.52,6.19,2023-07-30,6.19,0.43,6.62,7%,1.0,Lazada,0,N,CUST0123
DOC000060,1,CAM-NB-WB-350G,Camel Organic Walnut Butter,3,10.09,10,30.27,27.24,2024-09-09,27.24,1.91,29.15,7%,1.0,Lazada,0,Y,CUST0150
DOC000061,1,CAM-P-S-135G,Shandong Groundnuts,1,1.72,2,1.72,1.69,2024-01-01,1.69,0.12,1.81,7%,1.0,Shopify,0,N,CUST0108
DOC000062,1,CAM-C-NB-135G,Natural Baked Cashews,5,4.74,10,23.7,21.33,2024-07-17,21.33,1.49,22.82,7%,1.0,Shopee,0,Y,CUST0159
DOC000063,1,CAM-A-H-135G,Honey Almonds,3,4.96,13,14.88,12.95,2024-02-01,12.95,0.91,13.86,7%,1.0,Shopee,0,Y,CUST0134
DOC000064,1,CAM-MN-CM-135G,Natural Cocktail Mix,2,5.27,12,10.54,9.28,2023-12-03,9.28,0.65,9.93,7%,1.0,Shopee,0,Y,CUST0144
DOC000065,1,CAM-MN-CM-135G,Natural Cocktail Mix,9,5.44,12,48.96,43.08,2023-11-14,43.08,3.02,46.1,7%,1.0,Shopee,0,Y,CUST0081
DOC000066,1,CAM-C-R-1KG,Roasted Cashews 1kg,2,27.63,1,55.26,54.71,2023-01-11,54.71,3.83,58.54,7%,1.0,Shopify,0,N,CUST0116
DOC000067,1,CAM-MN-FM-135G,Fancy Mixed Nuts,12,5.59,8,67.08,61.71,2023-12-18,61.71,4.32,66.03,7%,1.0,Lazada,0,N,CUST0026
DOC000068,1,CAM-C-NB-1KG,Natural Baked Cashews 1kg,2,25.14,1,50.28,49.78,2024-02-27,49.78,3.48,53.26,7%,1.0,Shopify,0,N,CUST0168
DOC000069,1,CAM-MN-CM-135G,Natural Cocktail Mix,1,5.76,15,5.76,4.9,2024-12-07,4.9,0.34,5.24,7%,1.0,Shopee,0,Y,CUST0069
DOC000070,1,CAM-C-R-135G,Roasted Cashews,4,5.13,15,20.52,17.44,2023-12-02,17.44,1.22,18.66,7%,1.0,Lazada,0,Y,CUST0115
DOC000071,1,CAM-MN-CM-135G,Natural Cocktail Mix,4,5.34,9,21.36,19.44,2023-12-25,19.44,1.36,20.8,7%,1.0,Lazada,0,N,CUST0016
DOC000072,1,CAM-C-H-135G,Honey Cashews,4,5.38,15,21.52,18.29,2024-01-10,18.29,1.28,19.57,7%,1.0,Shopee,0,Y,CUST0122
DOC000073,1,CAM-MN-RM-135G,Natural Baked Ruby Mix,5,5.44,6,27.2,25.57,2023-11-20,25.57,1.79,27.36,7%,1.0,Lazada,0,N,CUST0076
DOC000074,1,CAM-C-H-1KG,Honey Cashews 1kg,5,25.43,10,127.15,114.44,2024-02-06,114.44,8.01,122.45,7%,1.0,Shopify,0,Y,CUST0003
DOC000075,1,CAM-A-NB-36G,Natural Baked Almonds Mini 36g,2,1.61,2,3.22,3.16,2023-02-02,3.16,0.22,3.38,7%,1.0,Shopify,0,N,CUST0186
DOC000076,1,CAM-P-S-135G,Shandong Groundnuts,5,1.72,12,8.6,7.57,2023-12-27,7.57,0.53,8.1,7%,1.0,Shopee,0,Y,CUST0083
DOC000077,1,CAM-A-H-135G,Honey Almonds,4,5.3,15,21.2,18.02,2024-02-21,18.02,1.26,19.28,7%,1.0,Shopee,0,Y,CUST0067
DOC000078,1,CAM-C-R-135G,Roasted Cashews,3,5.25,14,15.75,13.54,2024-06-24,13.54,0.95,14.49,7%,1.0,Shopee,0,Y,CUST0056
DOC000079,1,CAM-MN-RM-135G,Natural Baked Ruby Mix,4,5.04,15,20.16,17.14,2023-11-30,17.14,1.2,18.34,7%,1.0,Shopee,0,Y,CUST0070
DOC000080,1,CAM-C-H-1KG,Honey Cashews 1kg,3,28.45,10,85.35,76.81,2023-09-02,76.81,5.38,82.19,7%,1.0,Shopee,0,Y,CUST0156
DOC000081,1,CAM-C-S-135G,Satay Cashews,3,5.65,10,16.95,15.25,2023-01-03,15.25,1.07,16.32,7%,1.0,Shopee,0,Y,CUST0192
DOC000082,1,CAM-C-R-1KG,Roasted Cashews 1kg,3,27.75,4,83.25,79.92,2024-07-13,79.92,5.59,85.51,7%,1.0,Shopify,0,N,CUST0161
DOC000083,1,CAM-C-S-1KG,Satay Cashews 1kg,3,24.31,12,72.93,64.18,2023-02-05,64.18,4.49,68.67,7%,1.0,Shopee,0,Y,CUST0015
DOC000084,1,CAM-C-H-1KG,Honey Cashews 1kg,2,26.16,12,52.32,46.04,2023-12-27,46.04,3.22,49.26,7%,1.0,Shopee,0,Y,CUST0010
DOC000085,1,CAM-C-H-1KG,Honey Cashews 1kg,5,26.73,3,133.65,129.64,2023-09-04,129.64,9.07,138.71,7%,1.0,Shopify,0,N,CUST0049
DOC000086,1,CAM-C-NB-135G,Natural Baked Cashews,1,5.05,10,5.05,4.54,2024-10-07,4.54,0.32,4.86,7%,1.0,Lazada,0,Y,CUST0138
DOC000087,1,CAM-MN-RM-135G,Natural Baked Ruby Mix,3,4.84,6,14.52,13.65,2024-12-09,13.65,0.96,14.61,7%,1.0,Lazada,0,N,CUST0160
DOC000088,1,CAM-A-S-135G,Smoked Almonds,3,5.92,6,17.76,16.69,2023-09-17,16.69,1.17,17.86,7%,1.0,Lazada,0,N,CUST0154
DOC000089,1,CAM-C-H-135G,Honey Cashews,2,4.88,13,9.76,8.49,2024-11-14,8.49,0.59,9.08,7%,1.0,Shopee,0,Y,CUST0179
DOC000090,1,CAM-C-NB-135G,Natural Baked Cashews,4,4.61,10,18.44,16.6,2023-10-05,16.6,1.16,17.76,7%,1.0,Shopee,0,Y,CUST0013
DOC000091,1,CAM-C-H-1KG,Honey Cashews 1kg,2,25.88,8,51.76,47.62,2024-09-10,47.62,3.33,50.95,7%,1.0,Lazada,1,N,CUST0035
DOC000092,1,CAM-A-H-135G,Honey Almonds,1,4.76,7,4.76,4.43,2024-08-29,4.43,0.31,4.74,7%,1.0,Lazada,0,N,CUST0039
DOC000093,1,CAM-C-R-135G,Roasted Cashews,2,5.2,10,10.4,9.36,2024-03-25,9.36,0.66,10.02,7%,1.0,Shopee,0,Y,CUST0048
DOC000094,1,CAM-NB-AB-350G,Camel Organic Almond Butter,3,9.99,10,29.97,26.97,2023-06-02,26.97,1.89,28.86,7%,1.0,Lazada,0,Y,CUST0173
DOC000095,1,CAM-P-A-135G,Peanut Anchovies,4,1.92,1,7.68,7.6,2023-03-10,7.6,0.53,8.13,7%,1.0,Shopify,0,N,CUST0116
DOC000096,1,CAM-MN-RM-135G,Natural Baked Ruby Mix,4,5.64,15,22.56,19.18,2023-11-27,19.18,1.34,20.52,7%,1.0,Shopee,0,Y,CUST0140
DOC000097,1,CAM-C-S-1KG,Satay Cashews 1kg,1,25.51,13,25.51,22.19,2023-03-22,22.19,1.55,23.74,7%,1.0,Shopee,0,Y,CUST0129
DOC000098,1,CAM-MN-CM-135G,Natural Cocktail Mix,5,5.69,12,28.45,25.04,2024-11-03,25.04,1.75,26.79,7%,1.0,Shopee,0,Y,CUST0025
DOC000099,1,CAM-A-H-135G,Honey Almonds,6,5.69,9,34.14,31.07,2023-04-17,31.07,2.17,33.24,7%,1.0,Lazada,0,N,CUST0153
DOC000100,1,CAM-C-NB-1KG,Natural Baked Cashews 1kg,2,25.34,5,50.68,48.15,2023-01-14,48.15,3.37,51.52,7%,1.0,Lazada,0,N,CUST0125
DOC000101,1,CAM-A-H-36G,Honey Almonds Mini 36g,1,1.56,15,1.56,1.33,2024-01-28,1.33,0.09,1.42,7%,1.0,Shopee,1,Y,CUST0195
DOC000102,1,CAM-MN-RM-135G,Natural Baked Ruby Mix,3,5.81,10,17.43,15.69,2023-11-29,15.69,1.1,16.79,7%,1.0,Lazada,0,Y,CUST0009
DOC000103,1,CAM-C-R-1KG,Roasted Cashews 1kg,3,26.33,10,78.99,71.09,2024-10-23,71.09,4.98,76.07,7%,1.0,Shopee,0,Y,CUST0154
DOC000104,1,CAM-C-H-1KG,Honey Cashews 1kg,10,27.06,12,270.6,238.13,2023-03-31,238.13,16.67,254.8,7%,1.0,Shopee,0,Y,CUST0191
DOC000105,1,CAM-BG&-WP-135G,Green Peas Wasabi,1,2.19,10,2.19,1.97,2023-10-26,1.97,0.14,2.11,7%,1.0,Shopee,1,Y,CUST0080
DOC000106,1,CAM-A-H-36G,Honey Almonds Mini 36g,4,1.49,5,5.96,5.66,2024-03-11,5.66,0.4,6.06,7%,1.0,Lazada,0,N,CUST0060
DOC000107,1,CAM-DF&-C-200G,Dried Cranberries,3,5.33,9,15.99,14.55,2024-11-30,14.55,1.02,15.57,7%,1.0,Lazada,0,N,CUST0009
DOC000108,1,CAM-C-NB-1KG,Natural Baked Cashews 1kg,3,29.37,12,88.11,77.54,2023-07-23,77.54,5.43,82.97,7%,1.0,Shopee,0,Y,CUST0098
DOC000109,1,CAM-A-S-135G,Smoked Almonds,1,5.62,11,5.62,5.0,2024-04-24,5.0,0.35,5.35,7%,1.0,Shopee,0,Y,CUST0168
DOC000110,1,CAM-P-B-400G,Baked Pistachios 400g,5,9.88,1,49.4,48.91,2023-03-20,48.91,3.42,52.33,7%,1.0,Shopify,0,N,CUST0149
DOC000111,1,CAM-A-S-135G,Smoked Almonds,2,5.08,5,10.16,9.65,2024-06-18,9.65,0.68,10.33,7%,1.0,Lazada,0,N,CUST0030
DOC000112,1,CAM-P-B-1KG,Baked Pistachios 1kg,1,25.08,10,25.08,22.57,2023-08-25,22.57,1.58,24.15,7%,1.0,Shopee,0,Y,CUST0017
DOC000113,1,CAM-A-H-36G,Honey Almonds Mini 36g,1,1.41,12,1.41,1.24,2023-06-26,1.24,0.09,1.33,7%,1.0,Shopee,0,Y,CUST0184
DOC000114,1,CAM-BG&-WP-135G,Green Peas Wasabi,5,2.22,15,11.1,9.43,2023-06-04,9.43,0.66,10.09,7%,1.0,Shopee,1,Y,CUST0107
DOC000115,1,CAM-MN-FM-135G,Fancy Mixed Nuts,4,5.05,8,20.2,18.58,2023-11-02,18.58,1.3,19.88,7%,1.0,Lazada,0,N,CUST0167
DOC000116,1,CAM-C-H-135G,Honey Cashews,3,5.61,5,16.83,15.99,2023-09-26,15.99,1.12,17.11,7%,1.0,Lazada,0,N,CUST0170
DOC000117,1,CAM-C-R-135G,Roasted Cashews,2,4.97,14,9.94,8.55,2024-02-22,8.55,0.6,9.15,7%,1.0,Shopee,0,Y,CUST0183
DOC000118,1,CAM-C-NB-1KG,Natural Baked Cashews 1kg,2,26.85,8,53.7,49.4,2024-01-22,49.4,3.46,52.86,7%,1.0,Lazada,0,N,CUST0083
DOC000119,1,CAM-C-R-135G,Roasted Cashews,4,4.94,5,19.76,18.77,2024-07-03,18.77,1.31,20.08,7%,1.0,Shopify,0,N,CUST0071
DOC000120,1,CAM-A-BS-1KG,Almonds Blanched Sliced 1kg,2,22.84,2,45.68,44.77,2023-08-26,44.77,3.13,47.9,7%,1.0,Shopify,0,N,CUST0170
DOC000121,1,CAM-C-H-135G,Honey Cashews,5,5.39,13,26.95,23.45,2024-12-13,23.45,1.64,25.09,7%,1.0,Shopee,0,Y,CUST0085
DOC000122,1,CAM-C-H-135G,Honey Cashews,3,5.44,12,16.32,14.36,2024-01-21,14.36,1.01,15.37,7%,1.0,Shopee,0,Y,CUST0134
DOC000123,1,CAM-C-NB-1KG,Natural Baked Cashews 1kg,3,26.81,6,80.43,75.6,2024-04-16,75.6,5.29,80.89,7%,1.0,Lazada,0,N,CUST0095
DOC000124,1,CAM-BG&-BB-135G,Broad Beans (Fava) Original,1,2.05,5,2.05,1.95,2024-04-24,1.95,0.14,2.09,7%,1.0,Lazada,0,N,CUST0044
DOC000125,1,CAM-P-A-135G,Peanut Anchovies,7,1.82,11,12.74,11.34,2023-03-23,11.34,0.79,12.13,7%,1.0,Shopee,0,Y,CUST0076
DOC000126,1,CAM-A-H-36G,Honey Almonds Mini 36g,3,1.54,15,4.62,3.93,2023-03-16,3.93,0.28,4.21,7%,1.0,Shopee,1,Y,CUST0058
DOC000127,1,CAM-C-H-1KG,Honey Cashews 1kg,2,24.64,10,49.28,44.35,2023-12-14,44.35,3.1,47.45,7%,1.0,Lazada,0,Y,CUST0108
DOC000128,1,CAM-C-NB-135G,Natural Baked Cashews,1,5.03,12,5.03,4.43,2024-01-11,4.43,0.31,4.74,7%,1.0,Shopee,0,Y,CUST0001
DOC000129,1,CAM-A-NB-135G,Natural Baked Almonds,4,5.16,13,20.64,17.96,2023-08-05,17.96,1.26,19.22,7%,1.0,Shopee,0,Y,CUST0200
DOC000130,1,CAM-A-H-135G,Honey Almonds,5,5.68,2,28.4,27.83,2023-04-18,27.83,1.95,29.78,7%,1.0,Shopify,0,N,CUST0124
DOC000131,1,CAM-MN-FM-135G,Fancy Mixed Nuts,4,5.16,14,20.64,17.75,2024-01-03,17.75,1.24,18.99,7%,1.0,Shopee,0,Y,CUST0031
DOC000132,1,CAM-C-H-135G,Honey Cashews,3,5.69,3,17.07,16.56,2024-03-29,16.56,1.16,17.72,7%,1.0,Shopify,0,N,CUST0116
DOC000133,1,CAM-P-S-135G,Shandong Groundnuts,5,1.92,8,9.6,8.83,2023-06-02,8.83,0.62,9.45,7%,1.0,Lazada,0,N,CUST0119
DOC000134,1,CAM-BG&-WP-135G,Green Peas Wasabi,3,2.18,10,6.54,5.89,2023-05-23,5.89,0.41,6.3,7%,1.0,Lazada,0,Y,CUST0017
DOC000135,1,CAM-MN-CM-135G,Natural Cocktail Mix,3,5.63,2,16.89,16.55,2024-12-11,16.55,1.16,17.71,7%,1.0,Shopify,0,N,CUST0154
DOC000136,1,CAM-P-B-1KG,Baked Pistachios 1kg,2,24.53,1,49.06,48.57,2024-05-28,48.57,3.4,51.97,7%,1.0,Shopify,0,N,CUST0072
DOC000137,1,CAM-C-NB-135G,Natural Baked Cashews,3,4.89,14,14.67,12.62,2023-01-16,12.62,0.88,13.5,7%,1.0,Lazada,0,Y,CUST0081
DOC000138,1,CAM-MN-FM-135G,Fancy Mixed Nuts,3,5.59,9,16.77,15.26,2024-12-23,15.26,1.07,16.33,7%,1.0,Shopify,0,N,CUST0106
DOC000139,1,CAM-C-S-135G,Satay Cashews,1,5.61,14,5.61,4.82,2023-01-04,4.82,0.34,5.16,7%,1.0,Lazada,0,Y,CUST0168
DOC000140,1,CAM-A-H-36G,Honey Almonds Mini 36g,2,1.36,15,2.72,2.31,2023-07-28,2.31,0.16,2.47,7%,1.0,Shopee,0,Y,CUST0135
DOC000141,1,CAM-MN-RM-135G,Natural Baked Ruby Mix,1,4.93,13,4.93,4.29,2024-11-23,4.29,0.3,4.59,7%,1.0,Shopee,0,Y,CUST0045
DOC000142,1,CAM-C-R-135G,Roasted Cashews,5,5.46,15,27.3,23.21,2023-02-07,23.21,1.62,24.83,7%,1.0,Shopee,0,Y,CUST0140
DOC000143,1,CAM-A-H-135G,Honey Almonds,3,5.13,11,15.39,13.7,2024-10-19,13.7,0.96,14.66,7%,1.0,Shopee,1,Y,CUST0060
DOC000144,1,CAM-C-H-1KG,Honey Cashews 1kg,3,29.63,3,88.89,86.22,2023-03-16,86.22,6.04,92.26,7%,1.0,Shopify,0,N,CUST0155
DOC000145,1,CAM-NB-CB-350G,Camel Organic Cashew Butter,2,9.35,3,18.7,18.14,2023-04-17,18.14,1.27,19.41,7%,1.0,Shopify,0,N,CUST0177
DOC000146,1,CAM-C-R-1KG,Roasted Cashews 1kg,3,28.92,9,86.76,78.95,2024-08-16,78.95,5.53,84.48,7%,1.0,Lazada,0,N,CUST0100
DOC000147,1,CAM-MN-RM-135G,Natural Baked Ruby Mix,9,4.87,15,43.83,37.26,2024-11-13,37.26,2.61,39.87,7%,1.0,Shopify,0,Y,CUST0061
DOC000148,1,CAM-MN-RM-135G,Natural Baked Ruby Mix,2,5.66,15,11.32,9.62,2023-12-14,9.62,0.67,10.29,7%,1.0,Shopee,0,Y,CUST0083
DOC000149,1,CAM-A-R-1KG,Raw Almonds 1kg,2,23.18,12,46.36,40.8,2023-01-18,40.8,2.86,43.66,7%,1.0,Shopee,0,Y,CUST0052
DOC000150,1,CAM-C-H-135G,Honey Cashews,3,5.47,10,16.41,14.77,2023-09-14,14.77,1.03,15.8,7%,1.0,Shopee,1,Y,CUST0114
DOC000151,1,CAM-A-NB-135G,Natural Baked Almonds,2,4.63,9,9.26,8.43,2023-01-08,8.43,0.59,9.02,7%,1.0,Lazada,0,N,CUST0076
DOC000152,1,CAM-A-NB-135G,Natural Baked Almonds,5,4.58,1,22.9,22.67,2023-10-15,22.67,1.59,24.26,7%,1.0,Shopify,0,N,CUST0050
DOC000153,1,CAM-C-H-135G,Honey Cashews,4,4.8,0,19.2,19.2,2024-03-29,19.2,1.34,20.54,7%,1.0,Shopify,0,N,CUST0083
