order_id,order_datetime,channel,platform,payment_method,customer_id,subtotal_sgd,shipping_fee_sgd,gst_sgd,grand_total_sgd
ORD100150,2019-01-06 10:03,Website,Website,GrabPay,CUST100259,4.36,3,0.52,7.88
ORD100151,2019-01-06 20:12,FairPrice_Online,FairPrice_Online,Credit Card,CUST103722,15.23,2.5,1.24,18.97
ORD100153,2019-01-06 14:05,Shopee,Shopee,ShopeePay,CUST104201,24.99,3,1.96,29.95
ORD100155,2019-01-06 15:05,Website,Website,PayNow,CUST100584,22.33,3,1.77,27.1
ORD100156,2019-01-06 11:44,Shopee,Shopee,PayNow,CUST102270,6.42,0,0.45,6.87
ORD100158,2019-01-06 15:56,Shopee,Shopee,ShopeePay,CUST101371,24.94,0,1.75,26.69
ORD100159,2019-01-06 15:49,Shopee,Shopee,Atome,CUST101055,12.15,0,0.85,13
ORD100160,2019-01-06 09:15,Shopee,Shopee,PayNow,CUST103508,6.2,0,0.43,6.63
ORD100164,2019-01-06 11:25,FairPrice_Online,FairPrice_Online,Atome,CUST101805,21.18,0,1.48,22.66
ORD100165,2019-01-06 14:16,Lazada,Lazada,Atome,CUST103237,11.07,3,0.98,15.05
ORD100170,2019-01-06 09:22,Shopee,Shopee,Atome,CUST104707,3.2,2.5,0.4,6.1
ORD100180,2019-01-07 18:48,Lazada,Lazada,Credit Card,CUST102713,13,2.5,1.09,16.59
ORD100183,2019-01-07 13:22,Lazada,Lazada,ShopeePay,CUST100023,3.46,3,0.45,6.91
ORD100185,2019-01-07 20:04,Lazada,Lazada,GrabPay,CUST104166,15.95,2.5,1.29,19.74
ORD100188,2019-01-07 12:06,Lazada,Lazada,Credit Card,CUST100906,11,0,0.77,11.77
ORD100189,2019-01-07 17:05,Lazada,Lazada,Atome,CUST101928,5,2.5,0.53,8.03
ORD100194,2019-01-07 19:42,Shopee,Shopee,Atome,CUST104505,2.8,3.9,0.47,7.17
ORD100195,2019-01-07 18:12,Shopee,Shopee,PayNow,CUST104299,10,3.9,0.97,14.87
ORD100197,2019-01-07 10:14,Shopee,Shopee,ShopeePay,CUST101655,39.36,0,2.76,42.12
ORD100199,2019-01-07 13:06,Lazada,Lazada,Credit Card,CUST103789,6.79,3.9,0.75,11.44
ORD100214,2019-01-08 10:17,Shopee,Shopee,Atome,CUST103651,10.53,0,0.74,11.27
ORD100216,2019-01-08 10:53,Shopee,Shopee,ShopeePay,CUST102019,6.18,0,0.43,6.61
ORD100223,2019-01-08 15:11,Shopee,Shopee,Credit Card,CUST102698,4.95,3.9,0.62,9.47
ORD100224,2019-01-08 15:16,Shopee,Shopee,Atome,CUST101351,21.91,3.9,1.81,27.62
ORD100226,2019-01-08 20:06,Shopee,Shopee,ShopeePay,CUST104625,17.72,0,1.24,18.96
ORD100231,2019-01-09 11:10,Shopee,Shopee,Atome,CUST103687,11,0,0.77,11.77
ORD100234,2019-01-09 20:33,GrabMart,GrabMart,Atome,CUST102513,2.7,0,0.19,2.89
ORD100235,2019-01-09 10:53,Lazada,Lazada,ShopeePay,CUST104280,20.05,2.5,1.58,24.13
ORD100238,2019-01-09 21:00,Shopee,Shopee,PayNow,CUST103880,11.66,0,0.82,12.48
ORD100239,2019-01-09 13:40,Shopee,Shopee,Credit Card,CUST103895,27.68,3,2.15,32.83
ORD100243,2019-01-09 14:09,Shopee,Shopee,PayNow,CUST101590,5.62,3,0.6,9.22
ORD100244,2019-01-09 10:44,Shopee,Shopee,ShopeePay,CUST104210,8.82,0,0.62,9.44
ORD100246,2019-01-09 14:41,Lazada,Lazada,ShopeePay,CUST101875,2.94,0,0.21,3.15
ORD100248,2019-01-09 21:10,Shopee,Shopee,GrabPay,CUST104933,8.22,0,0.58,8.8
ORD100251,2019-01-09 21:17,Shopee,Shopee,Atome,CUST100487,2.7,0,0.19,2.89
ORD100252,2019-01-09 11:07,Website,Website,Credit Card,CUST103507,6,3.9,0.69,10.59
ORD100253,2019-01-09 18:13,Lazada,Lazada,ShopeePay,CUST104527,6.2,3,0.64,9.84
ORD100258,2019-01-10 16:07,Shopee,Shopee,ShopeePay,CUST100469,44.66,2.5,3.3,50.46
ORD100263,2019-01-10 11:27,Shopee,Shopee,ShopeePay,CUST100552,7,0,0.49,7.49
ORD100264,2019-01-10 18:49,Lazada,Lazada,ShopeePay,CUST102105,23.37,3,1.85,28.22
ORD100266,2019-01-10 20:54,Shopee,Shopee,PayNow,CUST101887,24.3,3.9,1.97,30.17
ORD100269,2019-01-10 19:19,GrabMart,GrabMart,GrabPay,CUST102602,14.84,3,1.25,19.09
ORD100272,2019-01-10 17:38,Shopee,Shopee,GrabPay,CUST104045,13.4,3,1.15,17.55
ORD100276,2019-01-10 12:08,GrabMart,GrabMart,Credit Card,CUST100581,16.53,3,1.37,20.9
ORD100277,2019-01-10 09:39,Lazada,Lazada,GrabPay,CUST103939,31.2,3.9,2.46,37.56
ORD100278,2019-01-10 11:28,Website,Website,GrabPay,CUST103063,50.28,3,3.73,57.01
ORD100279,2019-01-10 19:44,Website,Website,Credit Card,CUST100948,26,3.9,2.09,31.99
ORD100282,2019-01-10 16:12,Shopee,Shopee,GrabPay,CUST104878,95.63,3.9,6.97,106.5
ORD100284,2019-01-10 10:56,Website,Website,PayNow,CUST104125,39.56,0,2.77,42.33
ORD100286,2019-01-10 12:50,Shopee,Shopee,GrabPay,GUEST1071,13.37,0,0.94,14.31
ORD100292,2019-01-11 21:02,Shopee,Shopee,Atome,CUST100698,39.74,0,2.78,42.52
ORD100293,2019-01-11 18:23,Lazada,Lazada,Credit Card,CUST104026,11.2,3.9,1.06,16.16
ORD100295,2019-01-11 13:11,FairPrice_Online,FairPrice_Online,PayNow,CUST102019,13.84,0,0.97,14.81
ORD100296,2019-01-11 12:26,Shopee,Shopee,Atome,CUST101151,12.15,0,0.85,13
ORD100299,2019-01-11 12:33,Shopee,Shopee,PayNow,CUST102682,9.72,0,0.68,10.4
ORD100300,2019-01-11 15:09,Website,Website,ShopeePay,CUST104901,4.1,2.5,0.46,7.06
ORD100302,2019-01-11 14:12,Shopee,Shopee,Credit Card,CUST102962,24.1,0,1.69,25.79
ORD100303,2019-01-11 19:30,Lazada,Lazada,GrabPay,CUST100229,10.8,3,0.97,14.77
ORD100306,2019-01-11 15:21,GrabMart,GrabMart,ShopeePay,CUST101195,11.02,3.9,1.04,15.96
ORD100308,2019-01-11 21:54,Website,Website,PayNow,CUST101088,5.51,0,0.39,5.9
ORD100309,2019-01-11 17:21,Shopee,Shopee,ShopeePay,CUST101177,5.4,3,0.59,8.99
ORD100310,2019-01-11 17:56,Shopee,Shopee,Credit Card,CUST100969,1.18,0,0.08,1.26
ORD100311,2019-01-11 20:52,Shopee,Shopee,GrabPay,CUST100958,5.16,0,0.36,5.52
ORD100313,2019-01-11 17:40,Lazada,Lazada,PayNow,CUST104609,11.76,3.9,1.1,16.76
ORD100315,2019-01-11 15:59,Lazada,Lazada,ShopeePay,CUST103109,0.64,3,0.25,3.89
ORD100316,2019-01-11 13:58,Shopee,Shopee,ShopeePay,CUST101272,3,0,0.21,3.21
ORD100319,2019-01-11 14:46,GrabMart,GrabMart,ShopeePay,CUST103659,15.2,0,1.06,16.26
ORD100321,2019-01-11 17:46,Lazada,Lazada,ShopeePay,CUST100041,9.58,0,0.67,10.25
ORD100331,2019-01-12 10:11,GrabMart,GrabMart,Atome,CUST101750,5.62,0,0.39,6.01
ORD100332,2019-01-12 10:41,Shopee,Shopee,ShopeePay,CUST104320,15.95,2.5,1.29,19.74
ORD100333,2019-01-12 11:24,Shopee,Shopee,Credit Card,CUST101145,12.35,3.9,1.14,17.39
ORD100334,2019-01-12 10:12,Lazada,Lazada,PayNow,CUST101856,41.45,2.5,3.08,47.03
ORD100335,2019-01-12 16:17,Lazada,Lazada,PayNow,CUST102539,4.58,0,0.32,4.9
ORD100336,2019-01-12 10:10,Website,Website,Credit Card,CUST101050,5,3.9,0.62,9.52
ORD100337,2019-01-12 10:03,Website,Website,GrabPay,CUST103225,15.4,2.5,1.25,19.15
ORD100338,2019-01-12 12:22,Website,Website,Credit Card,CUST101117,16.76,2.5,1.35,20.61
ORD100339,2019-01-12 09:25,Lazada,Lazada,GrabPay,CUST104997,4.47,3.9,0.59,8.96
ORD100341,2019-01-12 14:20,Lazada,Lazada,GrabPay,CUST104123,35.75,0,2.5,38.25
ORD100342,2019-01-12 09:42,Lazada,Lazada,Credit Card,CUST103087,6,0,0.42,6.42
ORD100348,2019-01-12 21:23,Lazada,Lazada,Atome,CUST101899,0.81,3.9,0.33,5.04
ORD100351,2019-01-12 10:46,Shopee,Shopee,PayNow,CUST103957,10.7,0,0.75,11.45
ORD100352,2019-01-12 11:39,Shopee,Shopee,ShopeePay,CUST100974,3.09,0,0.22,3.31
ORD100354,2019-01-12 14:41,Website,Website,Credit Card,CUST102221,26,0,1.82,27.82
ORD100356,2019-01-12 10:31,Lazada,Lazada,GrabPay,CUST103678,10,3,0.91,13.91
ORD100359,2019-01-12 12:17,Shopee,Shopee,Atome,CUST104165,13.4,2.5,1.11,17.01
ORD100364,2019-01-12 19:21,Lazada,Lazada,Credit Card,CUST100049,28.54,0,2,30.54
ORD100370,2019-01-13 17:21,Shopee,Shopee,PayNow,CUST101918,22.33,3,1.77,27.1
ORD100374,2019-01-13 15:48,Shopee,Shopee,Atome,CUST102518,15,0,1.05,16.05
ORD100376,2019-01-13 09:10,Shopee,Shopee,PayNow,CUST102424,11.69,2.5,0.99,15.18
ORD100379,2019-01-13 09:52,GrabMart,GrabMart,Atome,CUST104048,2.95,3.9,0.48,7.33
ORD100383,2019-01-13 18:30,Shopee,Shopee,Credit Card,CUST102602,18.11,0,1.27,19.38
ORD100384,2019-01-13 19:47,Shopee,Shopee,Atome,CUST101458,32.16,0,2.25,34.41
ORD100385,2019-01-13 12:03,FairPrice_Online,FairPrice_Online,GrabPay,CUST104111,10.25,2.5,0.89,13.64
ORD100387,2019-01-13 10:57,Website,Website,Atome,CUST102215,5.78,3,0.61,9.39
ORD100390,2019-01-13 15:09,Shopee,Shopee,GrabPay,CUST101383,7.12,0,0.5,7.62
ORD100391,2019-01-13 17:23,Shopee,Shopee,PayNow,CUST102158,26,2.5,2,30.5
ORD100392,2019-01-13 14:18,Shopee,Shopee,Credit Card,CUST104422,9.52,3.9,0.94,14.36
ORD100393,2019-01-13 16:40,Shopee,Shopee,GrabPay,CUST100134,18.11,3,1.48,22.59
ORD100395,2019-01-13 11:52,Shopee,Shopee,GrabPay,CUST103162,7.29,0,0.51,7.8
ORD100399,2019-01-13 17:58,Shopee,Shopee,ShopeePay,CUST100258,6.37,2.5,0.62,9.49
ORD100400,2019-01-13 14:40,Lazada,Lazada,Credit Card,CUST101698,16.53,2.5,1.33,20.36
ORD100401,2019-01-13 13:07,Website,Website,ShopeePay,CUST101933,16.2,0,1.13,17.33
ORD100405,2019-01-13 14:44,Shopee,Shopee,Credit Card,CUST103791,13.37,3,1.15,17.52
ORD100406,2019-01-13 09:00,Website,Website,Credit Card,CUST101237,10.39,3.9,1,15.29
ORD100409,2019-01-13 11:14,Website,Website,GrabPay,CUST101297,16.05,3.9,1.4,21.35
ORD100414,2019-01-14 16:50,Shopee,Shopee,PayNow,CUST104336,13.37,0,0.94,14.31
ORD100421,2019-01-14 11:10,Shopee,Shopee,Atome,CUST101244,5.35,3.9,0.65,9.9
ORD100425,2019-01-14 16:40,Website,Website,PayNow,CUST104688,5.62,0,0.39,6.01
ORD100426,2019-01-14 19:39,Lazada,Lazada,ShopeePay,CUST101289,2.94,2.5,0.38,5.82
ORD100428,2019-01-14 18:30,Website,Website,GrabPay,CUST103794,6.38,0,0.45,6.83
ORD100429,2019-01-14 15:21,Shopee,Shopee,ShopeePay,CUST102949,28.82,3,2.23,34.05
ORD100432,2019-01-14 12:01,Shopee,Shopee,PayNow,CUST102847,3.09,3.9,0.49,7.48
ORD100436,2019-01-14 20:17,Lazada,Lazada,Atome,CUST104739,30.62,2.5,2.32,35.44
ORD100438,2019-01-14 11:35,Shopee,Shopee,PayNow,CUST104390,15.56,0,1.09,16.65
ORD100439,2019-01-14 17:48,Lazada,Lazada,Credit Card,CUST102579,2.7,0,0.19,2.89
ORD100440,2019-01-14 20:11,Shopee,Shopee,ShopeePay,CUST104880,27.4,3,2.13,32.53
ORD100447,2019-01-14 19:00,Lazada,Lazada,Credit Card,CUST104079,3.25,3.9,0.5,7.65
ORD100451,2019-01-15 16:09,FairPrice_Online,FairPrice_Online,Atome,CUST103073,0.54,3.9,0.31,4.75
ORD100452,2019-01-15 17:42,Shopee,Shopee,ShopeePay,CUST102960,17,0,1.19,18.19
ORD100453,2019-01-15 20:09,Lazada,Lazada,Atome,CUST101976,16.92,3.9,1.46,22.28
ORD100455,2019-01-15 09:32,GrabMart,GrabMart,Atome,CUST103621,13.12,2.5,1.09,16.71
ORD100457,2019-01-15 21:07,FairPrice_Online,FairPrice_Online,Credit Card,CUST102106,7.54,3,0.74,11.28
ORD100458,2019-01-15 11:56,RedMart,RedMart,ShopeePay,CUST104338,34.8,0,2.44,37.24
ORD100459,2019-01-15 20:25,Shopee,Shopee,GrabPay,CUST104768,1.12,3.9,0.35,5.37
ORD100460,2019-01-15 13:45,Shopee,Shopee,Credit Card,CUST103110,3.08,3,0.43,6.51
ORD100466,2019-01-15 13:24,Lazada,Lazada,ShopeePay,CUST102566,27.41,0,1.92,29.33
ORD100467,2019-01-15 12:00,Website,Website,Atome,CUST103366,18,2.5,1.44,21.94
ORD100468,2019-01-15 17:37,Shopee,Shopee,GrabPay,CUST103972,15.17,0,1.06,16.23
ORD100471,2019-01-15 16:02,FairPrice_Online,FairPrice_Online,ShopeePay,CUST103453,15.8,3.9,1.38,21.08
ORD100472,2019-01-15 15:59,Shopee,Shopee,PayNow,CUST100507,13.37,3.9,1.21,18.48
ORD100475,2019-01-15 21:56,Lazada,Lazada,Credit Card,CUST102609,5.51,0,0.39,5.9
ORD100478,2019-01-15 19:54,GrabMart,GrabMart,ShopeePay,CUST101541,4.06,0,0.28,4.34
ORD100481,2019-01-15 09:58,Shopee,Shopee,Atome,CUST100274,1.18,3,0.29,4.47
ORD100483,2019-01-15 21:17,Lazada,Lazada,GrabPay,CUST104608,21.1,0,1.48,22.58
ORD100484,2019-01-16 12:12,GrabMart,GrabMart,ShopeePay,CUST103242,0.81,0,0.06,0.87
ORD100492,2019-01-16 15:35,Lazada,Lazada,GrabPay,CUST100556,12.15,0,0.85,13
ORD100495,2019-01-16 13:05,Shopee,Shopee,PayNow,CUST100775,21.43,2.5,1.68,25.61
ORD100496,2019-01-16 19:27,Website,Website,PayNow,CUST100205,10.5,2.5,0.91,13.91
ORD100497,2019-01-16 11:26,Website,Website,ShopeePay,GUEST1006,12.15,0,0.85,13
ORD100500,2019-01-16 13:52,FairPrice_Online,FairPrice_Online,Credit Card,CUST101649,14.15,0,0.99,15.14
ORD100502,2019-01-16 11:14,Website,Website,GrabPay,CUST101288,14,0,0.98,14.98
ORD100505,2019-01-16 18:53,Lazada,Lazada,PayNow,CUST103340,9.87,0,0.69,10.56
ORD100508,2019-01-16 21:27,Shopee,Shopee,Credit Card,CUST104713,0.54,3.9,0.31,4.75
ORD100510,2019-01-16 12:25,GrabMart,GrabMart,Atome,CUST100043,2.7,2.5,0.36,5.56
ORD100513,2019-01-16 09:59,Website,Website,PayNow,CUST100611,5.5,0,0.39,5.89
ORD100517,2019-01-16 10:16,Lazada,Lazada,ShopeePay,CUST102640,8.3,0,0.58,8.88
ORD100518,2019-01-16 16:29,Shopee,Shopee,Credit Card,CUST103367,26.6,2.5,2.04,31.14
ORD100520,2019-01-16 16:01,Website,Website,PayNow,CUST102842,22.33,2.5,1.74,26.57
ORD100521,2019-01-16 13:06,Shopee,Shopee,Credit Card,CUST103698,6.37,3.9,0.72,10.99
ORD100525,2019-01-17 13:38,Shopee,Shopee,PayNow,CUST102184,0.64,3.9,0.32,4.86
ORD100526,2019-01-17 13:25,GrabMart,GrabMart,Atome,CUST101750,25.21,2.5,1.94,29.65
ORD100528,2019-01-17 16:56,Shopee,Shopee,Credit Card,CUST101533,22.73,0,1.59,24.32
ORD100529,2019-01-17 18:02,Shopee,Shopee,PayNow,CUST104882,3.89,0,0.27,4.16
ORD100531,2019-01-17 11:20,Shopee,Shopee,GrabPay,CUST100934,11.76,0,0.82,12.58
ORD100532,2019-01-17 21:43,GrabMart,GrabMart,Atome,CUST102998,9.72,0,0.68,10.4
ORD100533,2019-01-17 15:30,Website,Website,ShopeePay,CUST103750,11.76,3.9,1.1,16.76
ORD100534,2019-01-17 11:23,Shopee,Shopee,ShopeePay,CUST100746,30.36,0,2.13,32.49
ORD100535,2019-01-17 14:18,Shopee,Shopee,ShopeePay,CUST103918,9.57,2.5,0.84,12.91
ORD100537,2019-01-17 18:34,Shopee,Shopee,ShopeePay,CUST101522,11.46,0,0.8,12.26
ORD100538,2019-01-17 17:43,Lazada,Lazada,Atome,CUST101937,5.72,0,0.4,6.12
ORD100539,2019-01-17 19:24,Shopee,Shopee,Credit Card,CUST102361,31.74,2.5,2.4,36.64
ORD100541,2019-01-17 14:52,RedMart,RedMart,ShopeePay,CUST103144,5.51,3.9,0.66,10.07
ORD100543,2019-01-17 12:20,Shopee,Shopee,ShopeePay,CUST101296,2.24,0,0.16,2.4
ORD100544,2019-01-17 13:55,Shopee,Shopee,PayNow,CUST101399,7.61,0,0.53,8.14
ORD100545,2019-01-17 10:55,Lazada,Lazada,ShopeePay,CUST100920,12.76,2.5,1.07,16.33
ORD100548,2019-01-17 14:04,FairPrice_Online,FairPrice_Online,ShopeePay,CUST104182,7,3,0.7,10.7
ORD100553,2019-01-17 15:38,Shopee,Shopee,Atome,CUST102761,30.41,0,2.13,32.54
ORD100555,2019-01-18 21:09,Lazada,Lazada,GrabPay,CUST102170,13,3,1.12,17.12
ORD100562,2019-01-18 16:25,Website,Website,GrabPay,CUST104620,10.7,2.5,0.92,14.12
ORD100565,2019-01-18 18:23,Shopee,Shopee,ShopeePay,CUST103136,10.72,0,0.75,11.47
ORD100567,2019-01-18 11:12,Website,Website,GrabPay,CUST101531,8.68,3,0.82,12.5
ORD100568,2019-01-18 21:32,Website,Website,GrabPay,CUST102347,5,2.5,0.53,8.03
ORD100572,2019-01-18 19:03,Shopee,Shopee,PayNow,CUST100350,9.14,0,0.64,9.78
ORD100573,2019-01-18 17:02,Shopee,Shopee,PayNow,CUST102807,9.44,3.9,0.93,14.27
ORD100576,2019-01-18 18:03,Shopee,Shopee,Credit Card,CUST100784,12.24,0,0.86,13.1
ORD100577,2019-01-18 14:59,Website,Website,Atome,CUST102585,1.12,0,0.08,1.2
ORD100579,2019-01-18 14:09,GrabMart,GrabMart,ShopeePay,CUST103242,21.48,3.9,1.78,27.16
ORD100581,2019-01-18 11:52,Shopee,Shopee,Credit Card,CUST101539,7.29,3,0.72,11.01
ORD100582,2019-01-18 15:22,Shopee,Shopee,PayNow,CUST102887,13.43,0,0.94,14.37
ORD100583,2019-01-18 18:08,Website,Website,ShopeePay,CUST100516,10.91,0,0.76,11.67
ORD100584,2019-01-18 10:29,Shopee,Shopee,ShopeePay,CUST102142,28.51,2.5,2.17,33.18
